Words,0
,13
0,3
0000,1
011119,1
03,1
042,1
051019,1
070,1
081718,1
09,1
090420,1
092818,1
1,4
10,1
100,2
100821,1
103,1
10k,1
10th,1
11,2
12,2
123,1
12921,1
13,1
130,1
136,1
14,1
145am,1
15,1
150000,1
151,1
16,3
163,1
166,1
167,1
1674embed,1
168,1
17,1
1718,1
175,2
17again,1
18,2
1800jódete,1
19,1
1964,1
1975,1
1990,1
1999,1
1nonly,1
2,9
20,2
2000,1
2002,1
2009,1
2010,1
2011,2
2016,1
20165embed,1
2018,1
2019,1
2020,3
2021,1
2023,1
203,1
2030,1
208,1
21,2
214,1
22,1
220,1
224,1
23,1
24,2
248,1
24hrs,1
24kgoldn,3
25,1
252,1
259,1
26,1
27,1
28,1
29,1
2catorce,1
2k,1
2kbaby,1
2pac,1
2point0,1
3,5
30,2
30000,1
31,1
313,1
318,1
32,1
32621,1
33,1
337,1
339,1
34,1
3435,1
347aidan,1
35,1
36,1
360,1
37,1
38,1
39,1
390,1
398,1
3am,1
4,4
40,2
4000,1
41,1
42,1
422,1
43,1
432,1
44,1
45,1
452,1
46,1
465,1
47,1
473,1
48,1
486,1
49,1
4x4,1
5,5
50,2
500,2
505,1
51,1
512,2
52,2
53,1
54,1
55,1
56,1
57,1
58,1
59,1
5am2embed,1
5s,1
6,2
60,1
61,1
613,1
62,1
63,1
63s,1
64,1
644,1
65,1
66,1
67,1
68,1
685,1
69,1
6ix9ine,1
6ixbuzz,1
6lack,1
7,4
70,1
71,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
719,1
72,2
720,1
721,1
722,1
723,1
724,1
725,1
727,2
728,1
729,1
73,2
730,1
731,1
74,2
75,2
76,2
77,2
78,2
79,2
79th,1
8,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
8ubbles,1
9,2
90,2
91,1
911,2
92,1
93,1
94,1
9420,1
95,1
96,1
97,1
98,1
99,2
9pm,1
_,1
a,5
a1,1
a7s,2
aa,4
aaa,1
aaaaacércate,1
aaah,1
aaas,1
aah,2
aahaahaah,1
aaja,1
aalegra,1
aap,1
aapreciando,1
aaron,1
aask,1
aaya,1
aazar,1
ab,1
abajo,3
abandona,1
abandonan,1
abandonao,1
abandone,1
abayarde,1
abba,1
abbey,1
abdomen,1
abdominale,1
abe,1
abel,2
abierta,2
abiertita,1
abloh,1
ablukada,1
abordar,1
aborrecimiento,1
aborrecía,1
abortion,1
about,2
above,3
abrace,1
abraham,1
abran,1
abraza,1
abrazarte,1
abrazaste,1
abrazo,1
abrazos,1
abre,1
abrieron,1
abrigarte,1
abrigo,1
abrirlos,1
abrirás,1
abrió,1
abro,1
abstinencia,1
abu,1
abule,1
aburrió,1
aburrí,2
abusa,1
abusadora,1
abuso,1
abusó,1
acaba,2
acabado,1
acabamo,1
acabando,1
acabar,1
acabara,1
acabaron,1
acabas,1
acabe,2
acabo,2
acabó,2
acampar,1
acapella,2
acariciándono,1
acaso,1
accident,1
acciones,1
acción,1
account,1
acdc,1
ace,1
acelera,1
acelerador,1
aceleran,1
acelerar,1
aceleras,1
acelero,2
acento,1
aceptar,1
aceptarlo,1
aceptaré,1
acepto,1
acercando,1
acercar,1
acercaran,1
acercarme,2
acercas,1
acercó,1
acero,2
acerque,1
acerqué,1
aching,1
acicala,1
acicalá,1
aclarar,1
acompaña,1
acompáñame,1
aconseje,1
acordarme,1
acordé,1
acorta,1
acosan,1
acostar,1
acostarme,1
acostumbrado,1
acostumbrara,1
acostumbraste,1
acostumbre,2
acostumbro,1
acostumbró,1
acostó,1
acoustic,2
actin,1
action,1
actitu,1
actitud,1
activa,1
activao,2
activos,1
actress,1
actualizá,1
actually,1
actuar,1
actué,1
actúa,1
actúas,1
actúas2embed,1
acuerda,1
acuerdas,1
acuerde,1
acuerdes,1
acuerdo,1
acuesta,1
acueste,1
acuesto,2
acurruco,1
acurrucu,1
acuéstate,1
acá,2
acércate,2
adam,1
adamlar,1
adams,1
add,1
addict,2
addicted,1
addiction,1
adding,1
adelante,2
además,1
adentro,1
adicta,1
adictiva,2
adicto,2
adivina,2
adió,1
adiós,3
adiós1embed,1
admirante,1
admiro,1
admissions,1
admit,1
adorarte,1
adore,1
adoro,2
adquisición,1
adrenalina,2
adriel,1
adulterio,1
adventures,1
advertirme,1
advirtieron,1
adán,2
aerolínea,2
aeropuerto,1
aespa,1
af,1
afeni,1
aferro,1
afghanistan,1
afraid,1
after,1
afterall,1
afterhours,1
afterparty,1
afuera,2
afán,1
again,4
against,1
agarra,1
agarrar,1
agarraron,1
agarre,1
agarro,1
agarrándote,1
age,1
ageless,1
ago,1
agosto,2
agote,1
agradecido,1
agradezco,1
agresivo,1
agridulce,1
agua,3
aguacero,1
aguantan,1
aguantando,1
aguantar,1
aguante,1
aguanto,1
aguardiente,1
aguilar,3
aguja,1
agujero,1
agárralo,1
agüiten,1
ah,16
ah147embed,1
ahah,5
ahahah,3
ahahahah,1
ahead,2
ahembed,2
ahh,1
ahogando,1
ahogar,1
ahoguen,1
ahora,6
ahorita,3
ahuevo,1
ahy,1
ahí,7
ai,2
aight,2
aiko,1
aimin,1
aint,2
air,1
airbnb,1
aire,2
aires,1
airplane,1
aisle,1
aitana,3
aj,1
ajajajay,1
ajay,1
ajena,3
ajenos,1
ajore,1
ajr,1
ajuste,1
ajá,7
ak,2
akon,2
al,2
alabada,1
aladdin,1
alaina,1
alan,1
alanis,1
alante,1
alarma,1
alas,1
alastors,1
alayhi,1
albania,1
alberca,1
alborán,2
album,1
alcanza,1
alcanzar,1
alcanzaré,1
alce,1
alcoba,2
alcohol,3
alec,1
alegría,2
aleja,1
alejandro,4
aleje,1
alemeda,1
alergia,1
alessia,1
alesso,1
alex,2
alexander,1
alexs,1
alfa,1
alfombra,1
algarete,1
algeria,1
algiers,1
algo,4
algodón,1
alguien,2
alguito,1
alguna,1
algunas,1
alguno,1
algún,1
ali,2
alineo,1
alive,2
aljibe,1
all,4
allahu,1
allen,1
allergic,1
allie,2
ally,1
allá,2
alma,1
almadan,1
almas,1
almohada,1
almondmilkhunni,1
almost,1
aloca,1
alocados,1
alocao,1
aloe,1
alone,3
along,2
aloqueloqueloqueloqueloque,1
alquilau,1
already,1
alright,3
alright1embed,1
alrightembed,1
also,1
alta,1
altera,1
alto,1
altura,4
altüst,1
alucinando,1
alucinar,1
alumbra,1
aluna,1
always,2
alzo,1
aléjate,1
alócate,1
alıştım,1
am,4
ama,2
amaba,1
amado,1
amados,1
aman,1
amando,2
amanece,2
amanecer,2
amantes,1
amar,5
amarga,1
amargura,1
amarillo,5
amarme,2
amarrar,1
amarre,1
amarte,2
amas,1
amazing,2
ambiente,2
ambjaay,1
ambos,2
amca,1
ame,1
amenazas,1
america,1
american,2
amerikkka,1
amerite,1
amg,1
amiga,7
amigas,2
amigazo,1
amigo,3
amigos,3
amiguita,1
aminé,1
amir,1
amis,1
amistad,1
amistade,1
amistades,1
amo,4
amor,6
amore,2
amores,1
amorfoda,1
amotiná,1
amount,1
amour,2
amuleto,1
amv,1
amárrense,1
amé,1
amén,2
an,1
analizando,1
analogy,1
anarchist,1
ancestral,1
ancias,1
anclada,1
ancora,1
and,3
anda,4
andaba,1
andamo,1
andamos,1
andan,1
andando,1
andar,1
andas,1
ande,2
anderson,1
andhera,1
ando,1
andra,1
andrade,1
andrea,1
andress,1
andrew,1
andré,1
andén,1
angel,1
angelical,1
angeliq,2
angelita,1
angelo,1
angels,1
angola,1
anguish,1
angulo,1
angustia,1
anillo,1
animal,1
animale,1
animals,1
anime,1
animo,1
anitta,1
aniversario,1
ann,1
anna,1
annemarie,1
annie,1
annies,1
anniversary,1
announcer,1
anoche,2
anormal,1
anormale,1
anotenme,1
another,3
ansiosa,1
anson,1
answer,1
ant,1
ante,4
anteater,1
antecedente,1
antes,1
anthem,1
anthony,1
anti,1
antidepresan,1
antieverything,1
antiguo,1
antigüita,3
antigüita1embed,1
antixeiras,1
antoja,1
antojo,1
antojos,1
antonio,1
anuel,5
any,2
anybody,1
anyone,2
anything,1
anytime,1
anyway,2
anywhere,3
ao,1
aoao,1
aod,1
aoki,1
ap,2
apaga,1
apagan,1
apagao,1
apagar,1
apago,1
apague,3
apagó,1
aparece,1
apareciste,1
apareció,1
aparenta,1
aparentemente,1
aparezca,1
apariencia,1
apart,1
apartamento,1
apartar,1
aparte,1
apartment,1
apechao,1
apellido,1
apena,1
apenas,2
apeste,1
aplausoembed,1
apldeap,1
aplicación,1
apocalipsis,1
apodera,1
apodos,1
apollo,1
apologise,1
apoyamos,1
apoyo,1
apoyándote,1
appena,1
apple,1
approach,1
aprende,1
aprendido,1
aprendiendo,1
aprendiste,1
aprendí,1
apresurado,1
apreta,1
apretao,1
apretar,1
apretaste,1
aprete,1
apretó,1
aprieta,1
aprieto,1
aprovecha,1
aprovechar,1
aprovecho,1
aprovéchame,1
apruebe,1
apuesta,1
apuesto,1
apuro,1
apuñalo,1
apá,1
aquel,1
aquella,1
aquellas,1
aquello,1
aquellos,1
aquí,5
aquíembed,1
arabia,1
araj,1
arana,1
araya,1
arca,1
arcade,1
arcando,1
archivo,1
arco,1
arcoíris,1
arctic,1
arcángel,3
arda,2
arde,2
ardındakiler,1
are,3
arena,2
arent,1
aretha,1
argentina,2
arguin,1
argument,1
argyle,1
ari,1
aria,1
ariana,1
arisque,1
arizona,1
arlo,1
arma,1
armada,1
armando,1
armas,1
arme,1
armi,1
armin,1
arms,1
armés,1
armó,1
around,2
arranca,1
arrancarlo,1
arrancarte,1
arrancarán,1
arranco,1
arranhão,1
arrebata,1
arrebatao,4
arrebato,1
arrebatá,2
arregla,1
arreglados,1
arreglarse,1
arreglaría,1
arreglo,1
arregló,1
arrepiento,1
arrestarte,1
arriba,1
arriva,1
arrivo,1
arrodilla,1
arrodillado,1
arrugh,1
arsenic,1
arte,1
artemas,1
arthur,1
artista,1
arty,1
aruñes,1
as,1
ascesa,1
asegura,2
asegurado,1
asesina,3
ashanti,1
ashe,1
ashes,1
ashley,1
ashnikko,1
asia,1
asiahn,1
